game_dates,pitcher_hm,pitcher_aw,hitman_hm_1,hitman_hm_2,hitman_hm_3,hitman_hm_4,hitman_hm_5,hitman_hm_6,hitman_hm_7,hitman_hm_8,hitman_hm_9,hitman_aw_1,hitman_aw_2,hitman_aw_3,hitman_aw_4,hitman_aw_5,hitman_aw_6,hitman_aw_7,hitman_aw_8,hitman_aw_9,winner,gameId,homeTeamCode,awayTeamCode,hm_R,hm_h,hm_e,hm_b,aw_R,aw_h,aw_e,aw_b
20180330,68135,66643,65115,76290,72133,68103,79192,64153,79109,61102,63123,76849,67650,70410,72443,78629,79608,99606,62864,78603,AWAY,20180330HTLG02018,LG,HT,3,10,0,4,4,10,1,3
20180331,76455,77637,65115,76290,72133,68103,79192,64153,79109,61102,63123,76849,70410,67650,72443,78629,79608,70756,62864,78603,HOME,20180331HTLG02018,LG,HT,6,9,0,1,4,6,1,3
20180331,67588,68953,76249,77532,76100,71564,77463,67598,68525,62556,67539,60566,62931,62947,67935,78813,71552,63963,73339,67944,AWAY,20180331NCLT02018,LT,NC,5,9,0,5,10,14,0,6
20180331,65060,74513,60558,68050,67025,74215,76313,74339,73113,78548,70553,79240,76267,79215,78224,76232,75334,68244,77248,74206,HOME,20180331OBKT02018,KT,OB,20,22,0,7,8,13,2,3
20180331,68742,77829,74163,75808,76753,71752,62700,74729,62797,60100,78288,61869,73209,75847,67872,66838,62895,75151,76812,76802,AWAY,20180331SKHH02018,HH,SK,1,8,1,4,12,13,0,7
20180331,68435,65320,62415,79465,62404,67450,74540,75566,71432,64610,79402,67341,78168,67394,75125,64300,79334,77564,64346,66354,AWAY,20180331WOSS02018,SS,WO,2,7,0,2,4,9,0,6
20180401,66741,68815,74163,62797,68730,76753,75808,62700,60100,66710,78288,63704,61869,75847,67872,66838,62884,76158,62802,76812,AWAY,20180401SKHH02018,HH,SK,1,4,1,0,13,15,0,6
20180401,64001,68240,63450,68050,67025,74215,76313,74339,73113,60343,70553,79240,68244,79215,78224,76232,75334,77248,63202,62234,HOME,20180401OBKT02018,KT,OB,9,13,0,5,4,10,1,3
20180401,65546,62966,76249,77532,78513,71564,77463,67598,68525,62556,61591,62907,62934,62947,67935,78813,71552,63963,73306,76720,HOME,20180401NCLT02018,LT,NC,3,10,0,3,2,7,1,2
20180401,61365,67313,62415,64610,62404,67450,75566,79465,61404,79456,79402,67341,67394,61353,75125,64300,79334,77564,64346,66354,HOME,20180401WOSS02018,SS,WO,6,14,2,5,5,9,1,6
20180401,66145,67645,65115,76290,72133,68103,79192,64153,79109,61102,63123,76849,67650,70410,72443,78629,79608,70756,62864,78603,HOME,20180401HTLG02018,LG,HT,6,10,0,5,5,9,0,5
20180403,60841,65616,61869,62884,75847,67872,66838,75151,76158,62802,76812,76849,67650,70410,72443,79608,73606,70756,66606,62864,HOME,20180403HTSK02018,SK,HT,13,14,1,6,3,5,0,3
20180403,62937,75258,64346,61353,67394,75125,64300,77564,79334,79300,62332,60558,68050,67025,76313,99810,74215,73113,60343,63450,AWAY,20180403KTWO02018,WO,KT,1,6,1,4,7,11,0,3
20180403,79229,62698,79240,76267,79215,78224,76232,75334,68244,77248,74206,65115,76290,72133,68103,79192,64153,79109,71842,63123,HOME,20180403LGOB02018,OB,LG,5,12,0,3,4,16,1,8
