idx,code,era,kpit,kbb,wpa,re24,whip
000173,68900,5.3,0.042,1.973,0.0,0.27,1.587
000174,68902,4.47,0.046,2.81,0.0,0.465,1.455
000175,68928,3.24,0.055,1.837,0.026,0.56,1.464
000176,68948,4.26,0.046,2.7,-0.058,0.31,1.504
000177,68953,5.28,0.054,2.441,-0.121,-0.67,1.587
000178,69032,3.86,0.05,2.503,0.041,0.91,1.28
000179,69041,4.75,0.033,0.935,0.002,0.56,1.796
000180,69045,2.87,0.054,5.26,0.158,2.32,1.109
000181,69103,3.19,0.049,3.013,0.096,1.48,1.244
000182,69113,6.0,0.05,1.857,0.001,0.56,1.767
000183,69134,5.59,0.031,1.917,0.007,0.465,1.757
000184,69168,4.32,0.032,0.938,-0.016,-0.23,1.76
000185,69343,2.89,0.049,3.645,0.11,1.33,1.216
000186,69360,5.28,0.029,0.852,0.0,-0.24,1.782
000187,69413,5.05,0.048,1.515,-0.031,0.52,1.7
000188,69435,5.75,0.053,2.471,-0.103,-0.45,1.54
000189,69439,4.14,0.056,2.938,0.022,0.26,1.28
000190,69446,3.91,0.042,2.176,0.01,0.835,1.398
000191,69516,7.62,0.03,0.687,-0.008,-0.755,2.179
000192,69539,5.56,0.036,1.669,0.003,0.3,1.669
000193,69550,4.74,0.057,2.609,0.041,0.78,1.309
000194,69620,5.48,0.034,0.917,-0.017,-0.23,1.744
000195,69640,5.46,0.045,2.086,-0.049,-0.655,1.657
000196,69656,4.75,0.05,2.322,-0.011,0.33,1.552
000197,69744,4.16,0.039,2.417,0.013,0.33,1.433
000198,69745,5.87,0.028,0.862,0.0,0.56,1.831
000199,69748,4.25,0.046,1.99,-0.026,-0.07,1.447
000200,69762,4.83,0.03,0.698,-0.004,-0.175,1.911
000201,69839,3.86,0.043,1.529,0.008,0.56,1.429
000202,69861,4.34,0.046,2.925,-0.042,-0.12,1.413
000203,69934,4.76,0.039,1.75,-0.061,0.33,1.48
000204,69940,3.02,0.056,3.421,0.14,1.89,1.247
000205,69953,3.0,0.049,2.417,0.109,1.33,1.32
000206,69962,4.81,0.045,1.697,-0.001,0.195,1.66
000207,69974,4.95,0.032,1.353,0.002,0.56,1.8
000208,70425,6.63,0.049,3.133,-0.083,-1.23,1.635
000209,72535,5.32,0.034,2.778,0.002,0.13,1.568
000210,73211,4.6,0.039,2.195,0.016,0.49,1.364
