idx,code,year,era,kpit,kbb,wpa,re24,whip
000443,77446,2023,3.95,0.043,1.815,0.057,1.33,1.302
000444,77591,2018,6.15,0.047,1.943,-0.104,-0.4,1.671
000445,77637,2018,4.05,0.052,3.444,-0.034,0.74,1.325
000446,77637,2019,2.29,0.06,4.939,0.181,2.33,1.083
000447,77637,2020,4.7,0.051,2.328,-0.021,0.89,1.445
000448,77637,2022,3.85,0.049,2.82,0.063,0.55,1.278
000449,77637,2023,3.85,0.054,3.143,0.022,0.77,1.512
000450,77829,2018,3.08,0.063,4.667,0.096,1.63,1.157
000451,77829,2019,2.44,0.063,4.821,0.141,1.48,1.254
000452,77829,2022,2.24,0.058,3.196,0.095,1.33,1.148
000453,77829,2023,3.5,0.049,2.0,0.098,1.28,1.351
000454,77927,2020,5.75,0.039,1.625,0.002,0.56,1.722
000455,77927,2022,5.7,0.034,1.133,0.005,0.36,1.933
000456,78148,2020,3.39,0.048,2.719,0.022,0.855,1.368
000457,78148,2021,4.28,0.032,2.069,0.059,1.33,1.478
000458,78148,2022,5.24,0.03,1.536,-0.092,-0.78,1.623
000459,78148,2023,3.94,0.035,3.625,0.123,2.33,1.011
000460,78517,2020,6.05,0.034,0.963,0.003,0.56,1.632
000461,78536,2020,3.1,0.054,1.654,0.003,0.56,1.561
000462,79229,2018,6.73,0.033,1.929,-0.111,-0.82,1.722
000463,79229,2019,3.44,0.024,1.488,0.088,1.59,1.345
000464,79229,2020,5.0,0.023,1.436,-0.122,-0.67,1.749
000465,79229,2021,7.71,0.019,0.958,-0.201,-1.57,2.127
000466,79764,2018,4.64,0.044,1.84,0.001,0.56,1.422
000467,79764,2019,5.43,0.054,3.815,-0.085,-0.7,1.534
000468,79764,2020,6.75,0.033,2.462,-0.002,0.315,1.762
000469,79764,2022,3.55,0.035,1.923,0.014,0.715,1.326
000470,79764,2023,4.53,0.047,2.857,-0.027,0.22,1.452
000471,79847,2018,3.51,0.062,2.488,0.021,0.56,1.39
000472,79847,2020,7.4,0.039,1.103,-0.041,-0.26,1.677
000473,95657,2018,5.48,0.054,2.897,0.031,0.5,1.552
000474,99563,2018,5.76,0.044,3.5,-0.002,0.03,1.522
