backnum,playerName,playerCode,birth,info
20,최성영,66920,19970428,P_NC
35,전민수,78361,19890318,-
25,홍성갑,61366,19920802,-
38,윤병호,62016,19890705,-
92,윤수강,62537,19900222,-
8,김재현,76869,19871107,-
49,박헌욱,62921,19930411,-
46,김용주,60764,19911023,-
0,나경민,66508,19911212,-
62,박준혁,64724,19910109,-
26,박대온,64944,19950828,H_NC
53,조홍석,63593,19900223,-
20,노성호,62920,19891022,-
8,김진곤,63088,19870910,-
5,신성현,64086,19901019,H_OB
23,박준태,64657,19910726,H_WO
24,윤석민,75620,19860724,-
64,류승현,66615,19970701,-
6,김찬형,66917,19971229,H_SK
4,강경학,61700,19920811,-
63,황인준,65618,19910723,-
61,김정인,65392,19960603,-
27,한기주,76610,19870429,-
17,김태훈,62360,19920302,-
35,김영준,68130,19990112,P_LG
63,이원준,67863,19980702,-
52,서상우,62164,19890917,-
24,백승민,64410,19900709,-
31,신정락,60140,19870513,-
55,이승진,64805,19950107,-
49,김유신,68659,19990614,-
33,윤정우,61652,19880512,-
55,김사율,99563,19800417,-
35,이명우,72535,19820603,-
22,김형준,68912,19991102,-
0,해커,63938,19830326,-
21,이형범,62951,19940227,-
35,정병곤,61104,19880323,-
8,김재균,68908,19990117,-
44,반슬라이크,68245,19860724,-
28,하준호,78517,19890429,-
12,임창용,95657,19760604,-
18,김진영,67737,19920416,-
61,김성훈,67762,19980204,-
0,김창혁,60184,19910517,-
44,헤일,68794,19870927,-
43,김민,68043,19990414,-
9,이대수,72860,19810821,-
47,김범수,65769,19951003,-
54,여건욱,79825,19860916,-
6,황경태,66207,19960817,-
33,허일,61566,19921120,-
44,배재준,63145,19941124,P_LG
61,양원혁,64117,19910721,-
3,백상원,60456,19880102,-
39,최원제,77466,19890204,-
45,샌즈,68345,19870928,-
46,장시윤,63360,19930923,-
67,신병률,68067,19960130,-
36,장민재,79764,19900319,P_HH
64,김태오,66064,19970729,-
43,허준혁,79535,19900930,-
19,전상현,66609,19960418,-
55,이흥련,63440,19890516,-
47,이승호,67603,19990208,P_WO
2,김태진,64984,19951007,H_WO
13,전병우,65586,19921024,H_WO
66,윤희상,74838,19850517,-
11,이현호,61214,19920714,-
30,박진우,63991,19900212,-
51,홍건희,61643,19920929,-
53,이대형,73153,19830719,-
50,조셉,69150,19910716,-
50,베탄코트,69950,19910902,-
30,아수아헤,69530,19911102,-
44,김준태,62558,19940731,H_KT
9,페르난데스,69209,19880427,H_OB
5,해즐베이커,69605,19870814,-
35,헤일리,69435,19910616,-
55,김경호,64260,19950731,-
35,전민재,68205,19990630,H_OB
33,유로결,69766,20000530,H_HH
56,윌랜드,69656,19900121,-
11,이대은,67008,19890323,-
3,고명성,68069,19990416,-
50,톰슨,69550,19940131,-
58,김영규,68900,20000210,-
42,김도환,69442,20000414,-
50,다익손,69861,19940702,-
48,채드벨,69748,19890228,-
28,장시환,77318,19871101,-
11,윤강민,63936,19901008,-
51,최충연,66451,19970305,-
8,김기환,65462,19950825,-
44,서폴드,69744,19900116,-
59,정우영,69159,19990819,-
13,맥과이어,69413,19890623,-
59,최선호,64493,19911212,-
41,박주홍,68703,19990820,-
34,버틀러,69934,19910313,-
58,정준혁,63558,19940401,-
40,루친스키,69940,19881230,P_NC
40,터너,69640,19910521,-
43,요키시,69343,19890729,P_WO
41,손동현,69041,20010123,-
20,김기훈,69620,20000103,-
33,변우혁,69727,20000318,H_HT
3,박정우,65620,19960321,-
63,김진형,79234,19900607,-
1,강로한,65515,19920513,-
47,홍상삼,78247,19900213,-
46,이태양,60768,19900703,P_HH
52,송준석,64469,19940504,H_SS
46,류형우,64164,19950507,-
45,양승철,69646,19920715,-
64,김영환,63448,19930131,-
2,배성근,64501,19950427,H_LT
46,강민국,64906,19920110,-
44,김응민,60288,19911022,-
59,오선우,69636,19961213,-
9,공민규,68407,19990927,H_SS
4,이창열,64706,19910906,-
48,강이준,67604,19980407,-
37,이우찬,61145,19920804,-
15,이인행,60648,19910630,-
1,유원상,76757,19860617,-
22,터커,69652,19900706,-
19,최하늘,68501,19990326,P_SS
3,유영준,63903,19940713,-
11,류제국,63111,19830530,-
47,이승헌,68529,19981219,-
61,조영건,69360,19990204,-
58,차명진,64615,19950303,-
39,서준원,69539,20001105,P_LT
54,조이현,64768,19950627,P_KT
46,최민재,63895,19940108,-
47,김종민,79364,19860330,-
97,이케빈,66444,19920213,-
32,김창평,69825,20000614,-
62,전준호,67123,19980701,-
2,임재현,64803,19910529,-
37,김은성,65304,19930307,-
2,구본혁,69100,19970111,-
3,최윤석,60805,19870328,-
31,전유수,75340,19861129,-
31,이현동,62499,19930327,-
69,윌슨,69569,19900729,-
9,최승민,65905,19960701,H_NC
0,이인혁,68901,19990103,-
20,안승한,64011,19920125,H_OB
26,김민수,65048,19920724,-
38,문동욱,64554,19920107,-
63,박한결,63703,19941224,-
51,박윤철,69762,19960323,-
39,양현,61268,19920823,-
58,최경모,69802,19960617,H_SK
34,스몰린스키,69901,19890209,-
53,프리드릭,69953,19870708,-
65,페게로,69165,19870222,-
49,김선기,66018,19910901,P_WO
60,김성민,69860,19930512,-
25,이현석,65869,19920607,-
11,임준섭,62611,19890716,-
25,김윤수,68403,19991208,P_SS
11,김도현,69745,20000915,-
51,이정현,67048,19971205,-
39,라이블리,69439,19920305,-
20,송창현,63791,19890817,-
3,김주한,66859,19930203,-
65,박승규,69418,20000902,H_SS
52,고장혁,63636,19900108,-
42,정보근,68518,19990831,H_LT
30,장운호,63700,19940220,H_HH
5,김재현,64499,19910830,H_SK
11,신재웅,75138,19820328,-
97,정인욱,79440,19901218,-
23,최정용,65464,19961024,H_HT
69,박진태,67646,19941019,-
20,이준영,65665,19920810,-
14,김병희,64014,19901206,H_KT
67,심수창,74167,19810209,-
58,강정현,69158,19950923,-
20,킹험,50815,19911108,-
6,마차도,50506,19920222,-
40,데스파이네,50040,19870404,P_KT
23,알테어,50923,19910114,-
68,살라디노,50468,19890720,-
44,라모스,50165,19941228,-
0,모터,50300,19890918,-
35,핀토,50835,19940120,-
12,라이트,50912,19900103,-
46,송은범,73801,19840317,-
36,브룩스,50636,19900427,-
34,플렉센,50234,19940701,-
40,가뇽,50640,19900626,-
30,소형준,50030,20010916,P_KT
9,김성표,63435,19940317,H_SS
35,이홍구,63634,19901211,-
24,박재욱,64100,19951206,-
59,백승건,69839,20001029,P_SK
2,노태형,64704,19950208,-
26,이민호,50126,20010830,P_LG
2,변상권,68305,19970404,-
16,이건욱,64861,19950213,P_SK
49,허윤동,50449,20010619,P_SS
24,샘슨,50524,19911007,-
25,정대현,60264,19910719,-
27,김호령,65653,19920430,H_HT
54,천성호,50054,19971030,-
7,권민석,68204,19990220,-
31,양우현,69403,20000413,-
12,김재유,65506,19920807,-
9,박정현,50709,20010727,H_HH
34,최인호,50707,20000130,-
42,박상언,66707,19970303,H_HH
4,조한민,69705,20001020,-
67,조제영,50296,20010212,-
34,김호은,66113,19920103,-
64,이승민,50464,20000826,-
43,박소준,63292,19950121,-
61,김진호,67954,19980607,-
16,서예일,66203,19930619,H_OB
39,조병욱,67045,19980608,-
47,김윤식,50157,20000403,P_LG
41,김대우,78536,19840726,-
2,유서준,64890,19951204,-
28,김재웅,67391,19981022,-
69,김지수,65503,19961029,-
67,이거연,50819,19970615,-
24,임종찬,50704,20010928,-
30,반즈,50730,19860515,-
95,정기훈,64209,19950218,-
27,러셀,50350,19940123,H_WO
12,최용제,64213,19910712,-
6,홍종표,50600,20000502,-
53,송우현,65362,19961227,-
19,김민규,68200,19990507,-
69,팔카,50469,19911028,-
