idx,code,year,date,result,startup,ip,run,er,bf,ab,hit,second,third,homerun,bb,ibb,hbp,k,pit,whip,avg,obp,ops,era,avli,re24,wpa,gsc,decision,itv
002067,60140,2018,08-05,L 3:12,0,1.0,0,0,2,2,0,0,0,0,0,0,0,0,7,1.54,0.319,0.0,0.0,5.55,0.34,1.57,0.029,-,-,5
002068,60140,2018,08-07,L 3:4,0,0.2,0,0,3,3,1,0,0,0,0,0,0,0,5,1.54,0.319,0.33,0.67,5.45,0.54,0.3,0.016,-,-,2
002069,60140,2018,08-08,L 1:2,0,0.1,0,0,1,1,0,0,0,0,0,0,0,0,6,1.53,0.317,0.0,0.0,5.4,0.39,0.12,0.01,-,-,1
002070,60140,2018,08-09,L 6:9,0,0.1,2,2,3,3,2,1,0,0,0,0,0,0,11,1.57,0.324,0.67,1.67,5.84,2.35,-0.88,-0.175,-,L,1
002071,60140,2018,08-11,L 8:13,0,1.2,0,0,7,5,1,0,0,0,1,0,1,1,26,1.55,0.32,0.43,0.63,5.59,0.04,1.21,0.0,-,-,2
002072,60140,2018,08-15,W 13:4,0,1.0,0,0,3,3,0,0,0,0,0,0,0,1,13,1.51,0.314,0.0,0.0,5.45,0.0,0.56,0.0,-,-,4
002073,60140,2018,09-04,L 3:4,0,0.2,0,0,4,2,1,0,0,0,1,0,0,1,14,1.54,0.316,0.67,1.17,5.36,0.45,0.09,0.002,-,-,7+
002074,60140,2018,09-05,W 4:3,0,1.0,0,0,3,3,0,0,0,0,0,0,0,2,11,1.5,0.311,0.0,0.0,5.23,1.26,2.42,0.112,-,W,1
002075,60140,2018,09-06,W 6:3,0,0.2,0,0,2,2,0,0,0,0,0,0,0,0,6,1.48,0.307,0.0,0.0,5.14,0.74,0.3,0.038,HLD,-,1
002076,60140,2018,09-08,W 5:1,0,1.0,0,0,3,3,0,0,0,0,0,0,0,1,12,1.44,0.301,0.0,0.0,5.02,0.98,0.56,0.074,HLD,-,2
002077,60140,2018,09-09,W 8:5,0,0.2,1,1,3,3,1,0,0,0,0,0,0,0,7,1.44,0.302,0.33,0.67,5.15,0.24,0.21,0.007,-,-,1
002078,60140,2018,09-12,W 5:4,0,0.1,0,0,1,1,0,0,0,0,0,0,0,1,6,1.43,0.3,0.0,0.0,5.11,1.32,0.12,0.034,-,W,3
002079,60140,2018,09-13,W 6:5,0,0.1,1,1,4,3,2,0,0,0,1,0,0,1,16,1.49,0.306,0.75,1.42,5.28,2.77,-1.48,-0.301,HLD,-,1
002080,60140,2018,09-18,L 1:4,0,1.0,0,0,3,3,0,0,0,0,0,0,0,2,11,1.46,0.301,0.0,0.0,5.16,0.73,0.56,0.055,-,-,5
002081,60140,2018,09-19,L 11:15,0,1.1,1,1,6,5,1,0,0,0,1,0,0,2,29,1.46,0.298,0.33,0.53,5.21,3.8,1.41,0.339,-,L,1
002082,60140,2018,09-22,L 1:6,0,2.0,0,0,7,6,0,0,0,0,1,0,0,3,30,1.42,0.289,0.14,0.14,4.99,0.35,1.11,0.051,-,-,3
002083,60140,2018,09-23,W 5:4,0,0.1,0,0,1,1,0,0,0,0,0,0,0,1,4,1.41,0.287,0.0,0.0,4.96,4.46,0.47,0.114,-,W,1
002084,60140,2018,09-25,D :,0,1.1,3,3,7,6,3,0,0,2,0,0,1,0,23,1.43,0.294,0.57,2.07,5.36,1.16,-2.19,-0.276,-,L,2
002085,60140,2018,09-26,L 2:5,0,0.1,2,0,4,3,1,0,0,0,0,0,1,1,15,1.44,0.294,0.5,0.83,5.33,3.08,-0.48,-0.067,-,L,1
002086,60140,2018,09-28,L 2:6,0,0.0,3,3,3,1,1,0,0,0,2,0,0,0,15,1.5,0.298,1.0,2.0,5.86,2.54,-1.35,-0.227,-,L,2
002087,64805,2018,05-01,W 12:3,0,1.0,0,0,3,3,0,0,0,0,0,0,0,1,11,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,-,-,7+
002088,64805,2018,05-03,L 4:8,0,2.2,2,2,11,10,3,1,0,0,1,0,0,2,46,1.09,0.231,0.36,0.76,4.91,0.36,-0.26,-0.082,-,-,2
002089,64805,2018,05-08,L 0:9,0,1.0,0,0,3,3,0,0,0,0,0,0,0,1,12,0.86,0.188,0.0,0.0,3.86,0.08,0.56,0.006,-,-,5
002090,64805,2018,05-11,L 9:14,0,2.0,0,0,6,6,0,0,0,0,0,0,0,1,27,0.6,0.136,0.0,0.0,2.7,0.47,1.11,0.072,-,-,3
002091,64805,2018,05-13,W 10:0,0,1.2,0,0,5,5,0,0,0,0,0,0,0,1,15,0.48,0.111,0.0,0.0,2.16,0.02,1.13,0.003,-,-,2
002092,64805,2018,05-20,L 3:8,0,0.1,0,0,3,1,0,0,0,0,2,0,0,0,16,0.69,0.107,0.67,0.67,2.08,0.67,-0.53,-0.032,-,-,7
002093,64805,2018,05-22,L 4:10,0,0.1,0,0,3,1,0,0,0,0,2,0,0,0,12,0.89,0.103,0.67,0.67,2.0,1.21,-1.17,-0.068,-,-,2
002094,64805,2018,05-30,L 3:11,0,1.0,2,2,6,5,3,0,0,0,0,0,1,1,17,1.1,0.176,0.67,1.27,3.6,0.01,-1.45,-0.002,-,-,7+
002095,64805,2018,06-02,W 6:1,0,1.0,0,0,4,3,0,0,0,0,0,0,1,3,23,1.0,0.162,0.25,0.25,3.27,0.43,0.56,0.012,-,-,3
002096,64805,2018,06-03,L 3:6,0,1.0,0,0,3,3,0,0,0,0,0,0,0,0,8,0.92,0.15,0.0,0.0,3.0,0.05,0.56,0.004,-,-,1
002097,64805,2018,06-06,W 7:2,0,1.0,0,0,3,3,1,0,0,0,0,0,0,0,8,0.92,0.163,0.33,0.67,2.77,0.29,0.56,0.012,-,-,3
002098,64805,2018,06-08,L 5:7,0,1.0,0,0,3,3,0,0,0,0,0,0,0,2,20,0.86,0.152,0.0,0.0,2.57,0.18,0.56,0.014,-,-,2
002099,64805,2018,06-10,L 3:4,0,0.1,1,1,4,3,1,0,0,0,1,0,0,0,17,0.98,0.163,0.5,0.83,3.14,3.67,-1.69,-0.363,-,L,2
002100,64805,2018,06-15,L 6:14,0,0.2,2,0,5,4,1,0,0,0,1,0,0,0,23,1.07,0.17,0.4,0.65,3.0,0.13,-2.28,-0.023,-,-,5
002101,64805,2018,06-17,L 7:13,0,2.0,1,1,9,9,2,1,0,1,0,0,0,0,29,1.06,0.177,0.22,0.89,3.18,0.02,0.11,-0.003,-,-,2
002102,64805,2018,06-23,W 7:4,1,4.0,2,2,17,17,5,0,0,2,0,0,0,1,60,1.1,0.203,0.29,0.94,3.43,0.62,0.22,0.06,45,-,6
002103,64805,2018,07-04,L 6:7,0,0.0,0,0,2,0,0,0,0,0,2,0,0,0,11,1.19,0.203,1.0,0.0,3.43,0.3,-1.02,-0.022,-,-,7+
002104,64805,2018,07-22,L 4:12,0,2.1,5,5,14,10,4,1,0,1,3,1,0,2,57,1.37,0.225,0.5,1.3,5.01,0.31,-3.64,-0.085,-,-,7+
002105,64805,2018,08-01,W 14:8,0,0.2,0,0,2,2,0,0,0,0,0,0,0,2,9,1.33,0.22,0.0,0.0,4.88,0.03,0.3,0.001,-,-,7+
002106,64805,2018,08-04,W 9:2,0,0.0,0,0,2,2,2,0,0,0,0,0,0,0,7,1.42,0.237,1.0,2.0,4.88,0.13,-1.02,-0.012,-,-,3
002107,64805,2018,08-07,L 8:10,0,1.0,0,0,6,4,1,0,0,0,1,0,1,1,29,1.44,0.237,0.5,0.75,4.68,1.23,0.56,0.05,-,-,3
002108,64805,2018,08-09,L 3:6,0,1.1,1,1,6,6,2,0,0,0,0,0,0,1,26,1.44,0.243,0.33,0.67,4.78,0.14,-0.13,-0.016,-,-,2
002109,64805,2018,08-10,W 12:8,0,0.1,0,0,3,2,1,0,0,0,1,0,0,0,11,1.5,0.248,0.67,1.17,4.73,1.17,-0.9,-0.132,-,-,1
002110,64805,2018,09-05,W 12:11,0,1.0,1,1,4,4,1,0,0,1,0,0,0,2,16,1.48,0.248,0.25,1.25,4.88,0.04,-0.45,-0.006,-,-,7+
002111,64805,2018,09-06,L 0:10,0,1.2,2,2,8,8,3,1,0,0,0,0,0,2,23,1.5,0.256,0.38,0.88,5.22,0.0,-0.72,0.0,-,-,1
002112,64805,2018,09-12,W 8:3,0,1.0,0,0,5,5,2,0,0,0,0,0,0,0,21,1.52,0.262,0.4,0.8,5.04,0.17,0.56,0.006,-,-,6
002113,64805,2018,09-18,L 5:9,0,0.1,0,0,1,1,0,0,0,0,0,0,0,0,5,1.5,0.26,0.0,0.0,4.99,0.02,0.12,0.001,-,-,6
002114,64805,2018,09-19,W 18:8,0,1.0,0,0,3,3,0,0,0,0,0,0,0,2,13,1.45,0.254,0.0,0.0,4.83,0.0,0.56,0.0,-,-,1
002115,64805,2018,09-20,L 2:8,0,1.0,0,0,4,3,0,0,0,0,0,0,1,2,20,1.41,0.248,0.25,0.25,4.68,0.02,0.56,0.001,-,-,1
002116,64805,2018,09-22,L 2:8,0,2.0,3,2,11,8,2,1,0,0,3,0,0,3,41,1.47,0.248,0.46,0.83,4.93,0.21,-1.89,-0.035,-,-,2
002117,64805,2018,09-29,L 3:9,0,0.2,0,0,2,2,0,0,0,0,0,0,0,0,10,1.44,0.245,0.0,0.0,4.84,0.03,1.65,0.001,-,-,7
002118,64805,2018,10-02,L 6:8,0,0.0,0,0,2,1,1,0,0,0,1,0,0,0,7,1.5,0.25,1.0,2.0,4.84,0.95,-0.56,-0.032,-,-,3
002119,64805,2018,10-06,L 4:8,0,1.0,1,1,4,3,1,0,0,1,1,0,0,0,21,1.51,0.252,0.5,1.83,4.95,0.09,-0.45,-0.014,-,-,4
002120,64805,2018,10-11,L 3:8,1,5.0,2,1,22,21,5,1,0,0,1,0,0,7,88,1.48,0.25,0.27,0.56,4.57,1.17,0.78,0.036,57,-,5
002121,68659,2018,05-01,L 0:4,0,0.2,0,0,2,2,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.09,0.97,0.005,-,-,7+
002122,68659,2018,05-06,W 11:3,0,1.0,0,0,3,3,0,0,0,0,0,0,0,1,12,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,-,-,5
002123,68659,2018,05-08,W 10:0,0,1.1,0,0,4,4,1,0,0,0,0,0,0,2,17,0.33,0.111,0.25,0.5,0.0,0.01,0.9,0.001,-,-,2
002124,68659,2018,05-09,L 7:13,0,0.1,3,3,4,4,3,1,0,0,0,0,0,0,16,1.2,0.308,0.75,1.75,8.1,1.87,-2.39,-0.19,-,-,1
002125,68659,2018,06-17,L 6:9,0,1.2,2,2,7,6,1,0,0,0,1,0,0,0,29,1.2,0.263,0.29,0.45,9.0,0.37,0.48,0.018,-,-,7+
002126,68659,2018,06-24,W 14:10,1,2.1,6,6,14,12,6,0,1,0,1,0,0,1,54,1.77,0.355,0.5,1.17,13.5,1.23,-3.58,-0.4,21,-,7
002127,68659,2018,08-12,W 21:8,0,1.0,0,0,4,2,0,0,0,0,1,0,1,0,10,1.68,0.333,0.5,0.5,11.88,0.01,0.56,0.0,-,-,7+
002128,68659,2018,08-15,L 4:13,0,1.1,2,2,6,5,1,1,0,0,1,0,0,1,23,1.66,0.316,0.33,0.73,12.1,0.03,-0.62,-0.003,-,-,3
002129,68659,2018,10-07,L 4:7,1,2.1,1,1,10,8,1,0,0,0,2,0,0,0,40,1.58,0.283,0.3,0.42,10.5,0.98,1.09,0.102,49,-,7+
002130,68659,2018,10-13,L 1:5,0,1.0,0,0,3,3,0,0,0,0,0,0,0,1,11,1.46,0.265,0.0,0.0,9.69,0.05,0.56,0.004,-,-,6
002131,99563,2018,03-27,L 5:8,0,2.0,2,2,12,10,3,0,0,2,2,0,0,0,48,2.5,0.3,0.42,1.32,9.0,0.06,-0.89,-0.018,-,-,7+
002132,99563,2018,03-30,L 2:6,0,1.1,0,0,5,5,1,1,0,0,0,0,0,0,19,1.8,0.267,0.2,0.6,5.4,0.11,0.94,0.01,-,-,3
002133,99563,2018,04-04,L 2:10,0,2.0,1,1,7,7,1,0,0,1,0,0,0,1,21,1.31,0.227,0.14,0.71,5.06,0.01,0.11,0.0,-,-,5
002134,99563,2018,05-05,L 1:10,0,3.0,2,2,11,11,3,1,0,1,0,0,0,1,41,1.2,0.242,0.27,0.91,5.4,0.03,-0.34,-0.002,-,-,7+
002135,99563,2018,05-10,W 5:4,0,1.0,1,1,7,6,3,0,1,0,1,1,0,0,27,1.5,0.282,0.57,1.4,5.79,0.55,-0.45,-0.05,-,-,5
002136,99563,2018,05-17,L 3:5,0,1.0,0,0,4,3,0,0,0,0,1,0,0,0,16,1.45,0.262,0.25,0.25,5.23,0.34,0.56,0.014,-,-,7
002137,99563,2018,05-18,L 1:6,0,3.1,0,0,12,12,2,0,0,0,0,0,0,1,39,1.24,0.241,0.17,0.33,3.95,0.07,2.48,0.015,-,-,1
002138,99563,2018,05-22,L 5:8,0,2.0,0,0,9,8,2,0,0,0,0,0,1,2,37,1.21,0.242,0.33,0.58,3.45,0.23,1.11,0.016,-,-,4
002139,99563,2018,05-25,W 13:7,0,3.0,0,0,9,8,0,0,0,0,0,0,0,4,34,1.02,0.214,0.0,0.0,2.89,0.97,2.01,0.191,-,W,3
002140,99563,2018,06-02,L 1:6,0,1.0,3,3,8,6,4,2,0,1,1,0,0,1,33,1.22,0.25,0.71,2.21,4.12,0.33,-2.45,-0.122,-,-,7+
002141,99563,2018,06-08,L 5:11,0,1.2,0,0,6,6,1,0,0,0,0,0,0,2,29,1.17,0.244,0.17,0.33,3.8,0.3,1.8,0.035,-,-,6
002142,99563,2018,06-27,L 2:7,1,2.2,1,1,13,12,4,1,0,0,1,0,0,2,57,1.25,0.255,0.38,0.8,3.75,1.01,0.03,-0.025,47,L,7+
002143,99563,2018,07-05,D 2:2,0,0.1,0,0,2,2,1,1,0,0,0,0,0,0,10,1.27,0.26,0.5,1.5,3.7,1.76,-0.17,-0.035,-,-,7+
002144,99563,2018,07-08,L 5:10,1,3.1,5,5,15,14,5,0,0,2,1,0,0,2,57,1.34,0.273,0.4,1.19,4.88,1.38,-3.08,-0.319,31,-,3
002145,99563,2018,07-21,L 2:8,1,3.1,3,3,17,16,5,2,0,1,1,0,0,0,54,1.39,0.278,0.35,0.98,5.23,0.72,-1.75,-0.198,37,L,7+
002146,99563,2018,07-25,L 3:7,0,1.0,1,1,4,4,1,0,0,1,0,0,0,1,22,1.38,0.277,0.25,1.25,5.34,0.14,-0.45,-0.022,-,-,4
002147,99563,2018,07-27,W 9:7,0,0.0,2,2,2,1,1,1,0,0,1,0,0,0,10,1.44,0.282,1.0,3.0,5.91,0.51,-1.5,-0.063,-,-,2
002148,99563,2018,07-28,W 11:10,0,0.2,0,0,4,4,2,1,0,0,0,0,0,0,13,1.47,0.289,0.5,1.25,5.79,0.38,0.3,0.008,-,-,1
002149,99563,2018,09-06,L 2:9,0,1.0,2,0,6,5,2,1,0,0,1,0,0,1,26,1.51,0.293,0.5,1.1,5.61,0.31,0.36,0.009,-,-,7+
002150,99563,2018,09-07,W 12:4,0,1.0,0,0,4,4,1,0,0,0,0,0,0,2,12,1.5,0.292,0.25,0.5,5.45,0.02,0.56,0.001,-,-,1
002151,99563,2018,09-11,L 3:4,0,0.1,0,0,2,2,1,0,0,0,0,0,0,0,8,1.51,0.295,0.5,1.0,5.4,6.02,-0.17,-0.167,-,-,4
002152,99563,2018,09-13,L 3:10,0,1.0,0,0,3,3,0,0,0,0,0,0,0,1,11,1.47,0.289,0.0,0.0,5.25,0.02,0.56,0.001,-,-,2
002153,99563,2018,09-14,L 2:7,0,1.0,1,1,5,5,2,1,0,0,0,0,0,0,17,1.49,0.292,0.4,1.0,5.35,0.05,-0.45,-0.005,-,-,1
002154,99563,2018,09-19,L 8:18,0,4.0,2,2,16,16,4,0,0,1,0,0,0,7,61,1.44,0.288,0.25,0.69,5.27,0.0,0.22,-0.003,-,-,5
002155,99563,2018,09-25,L 7:9,0,0.0,3,2,3,3,3,1,0,1,0,0,0,0,8,1.51,0.301,1.0,3.33,5.71,0.58,-2.63,-0.138,-,-,6
002156,99563,2018,09-29,L 3:8,0,1.0,2,2,7,6,3,1,0,0,0,0,1,1,27,1.55,0.307,0.57,1.24,6.0,0.18,-1.45,-0.025,-,-,4
002157,99563,2018,10-09,L 6:10,0,2.0,0,0,6,6,0,0,0,0,0,0,0,3,25,1.48,0.297,0.0,0.0,5.73,0.13,1.11,0.02,-,-,7+
002158,99563,2018,10-10,W 10:1,0,1.0,1,1,4,4,1,0,0,1,0,0,0,2,21,1.47,0.296,0.25,1.25,5.8,0.01,-0.45,0.0,-,-,1
002159,99563,2018,10-12,L 5:10,0,0.1,0,0,1,1,0,0,0,0,0,0,0,1,5,1.46,0.295,0.0,0.0,5.76,0.04,0.34,0.001,-,-,2
002160,72535,2018,03-25,L 0:5,0,0.1,0,0,1,1,0,0,0,0,0,0,0,1,4,0.0,0.0,0.0,0.0,0.0,0.4,0.26,0.01,-,-,7+
002161,72535,2018,03-27,L 0:5,0,0.2,2,2,4,2,0,0,0,0,2,0,0,0,21,2.0,0.0,0.5,0.5,18.0,0.38,0.09,0.002,-,-,2
002162,72535,2018,03-30,L 5:7,0,0.1,0,0,1,1,0,0,0,0,0,0,0,0,5,1.5,0.0,0.0,0.0,13.5,0.12,0.47,0.003,-,-,3
002163,72535,2018,03-31,L 5:10,0,0.2,0,0,2,2,0,0,0,0,0,0,0,0,6,1.0,0.0,0.0,0.0,9.0,2.02,1.07,0.102,-,-,1
002164,72535,2018,04-01,W 3:2,0,0.1,0,0,1,1,0,0,0,0,0,0,0,0,2,0.86,0.0,0.0,0.0,7.71,0.68,0.18,0.017,-,-,1
002165,72535,2018,04-03,L 11:17,0,1.2,1,0,7,7,0,0,0,0,0,0,0,1,18,0.5,0.0,0.0,0.0,4.5,0.05,-0.72,-0.013,-,-,2
002166,72535,2018,04-04,L 6:7,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,8,0.75,0.0,1.0,0.0,4.5,0.42,-0.13,-0.012,-,-,1
002167,72535,2018,04-07,W 7:2,0,1.0,0,0,3,3,0,0,0,0,0,0,0,0,13,0.6,0.0,0.0,0.0,3.6,0.22,0.56,0.017,-,-,3
002168,72535,2018,04-08,L 2:4,0,0.2,0,0,1,1,0,0,0,0,0,0,0,0,5,0.53,0.0,0.0,0.0,3.18,0.39,0.57,0.018,-,-,1
002169,72535,2018,04-13,W 8:4,0,0.0,1,0,2,0,0,0,0,0,0,0,0,0,5,0.53,0.0,0.0,0.0,3.18,0.5,-1.38,-0.044,-,-,5
002170,72535,2018,04-17,L 6:11,0,0.2,0,0,3,3,1,1,0,0,0,0,0,1,10,0.63,0.048,0.33,1.0,2.84,0.19,-1.03,-0.02,-,-,4
002171,72535,2018,04-18,W 9:7,0,0.2,0,0,2,2,0,0,0,0,0,0,0,1,6,0.57,0.043,0.0,0.0,2.57,0.29,0.6,0.015,-,-,1
002172,72535,2018,04-19,L 0:6,0,2.2,1,1,10,9,2,2,0,0,1,0,0,0,39,0.72,0.094,0.3,0.74,2.79,0.12,0.76,-0.007,-,-,1
002173,72535,2018,04-21,W 4:3,0,0.2,0,0,2,2,0,0,0,0,0,0,0,0,10,0.68,0.088,0.0,0.0,2.61,2.06,0.44,0.104,-,-,2
002174,72535,2018,04-24,W 14:8,0,1.2,2,2,8,8,3,2,0,0,0,0,0,1,28,0.83,0.143,0.38,1.0,3.75,0.03,-0.23,0.002,-,-,3
002175,72535,2018,04-25,W 5:4,0,0.0,1,1,1,1,1,0,0,0,0,0,0,0,2,0.92,0.163,1.0,2.0,4.5,1.87,-0.86,-0.114,-,-,1
002176,72535,2018,04-28,L 2:4,0,0.1,0,0,1,1,0,0,0,0,0,0,0,1,6,0.89,0.159,0.0,0.0,4.38,0.16,0.12,0.004,-,-,3
002177,72535,2018,04-29,W 4:3,0,0.1,0,0,2,2,1,0,0,0,0,0,0,0,4,0.95,0.174,0.5,1.0,4.26,0.67,0.05,0.004,HLD,-,1
002178,72535,2018,05-02,L 6:12,0,0.2,2,2,5,5,3,1,0,0,0,0,0,0,17,1.13,0.216,0.6,1.4,5.4,0.95,-0.57,-0.062,-,-,3
002179,72535,2018,05-04,L 4:5,0,0.1,0,0,1,1,0,0,0,0,0,0,0,0,4,1.1,0.212,0.0,0.0,5.27,0.33,0.34,0.008,-,-,2
002180,72535,2018,05-05,W 8:1,0,0.2,0,0,2,2,0,0,0,0,0,0,0,0,6,1.05,0.204,0.0,0.0,5.02,1.1,0.38,0.056,-,-,1
002181,72535,2018,05-09,L 2:3,0,1.0,0,0,3,3,0,0,0,0,0,0,0,1,13,0.98,0.193,0.0,0.0,4.7,0.68,0.83,0.046,-,-,4
002182,72535,2018,05-15,W 5:3,0,0.1,0,0,1,1,0,0,0,0,0,0,0,0,2,0.96,0.19,0.0,0.0,4.6,0.6,0.34,0.017,-,-,6
002183,72535,2018,05-17,W 7:0,0,0.1,0,0,1,1,0,0,0,0,0,0,0,1,5,0.94,0.186,0.0,0.0,4.5,0.89,0.32,0.022,-,-,2
002184,72535,2018,05-19,W 15:2,0,1.0,0,0,3,3,0,0,0,0,0,0,0,1,10,0.88,0.177,0.0,0.0,4.24,0.01,0.56,0.001,-,-,2
002185,72535,2018,05-20,L 6:7,0,0.1,1,1,2,2,1,1,0,0,0,0,0,0,8,0.92,0.188,0.5,1.5,4.67,1.75,-0.43,-0.074,-,-,1
002186,72535,2018,05-22,L 4:10,0,0.1,4,2,5,3,2,0,0,0,1,1,0,0,11,1.08,0.209,0.75,1.42,5.6,0.61,-2.1,-0.095,-,-,2
002187,72535,2018,05-26,L 2:3,0,0.2,0,0,2,2,1,0,0,0,0,0,0,0,8,1.09,0.217,0.5,1.0,5.4,0.95,0.44,0.033,-,-,4
002188,72535,2018,05-30,L 5:15,0,1.0,3,2,6,6,3,1,0,0,0,0,0,0,23,1.19,0.24,0.5,1.17,6.05,0.01,-3.58,-0.006,-,-,4
002189,72535,2018,05-31,L 10:11,0,0.0,1,0,1,1,1,1,0,0,0,0,0,0,1,1.24,0.25,1.0,3.0,6.05,1.45,-0.63,-0.099,-,-,1
002190,72535,2018,06-17,W 13:7,0,1.0,2,2,7,6,3,1,0,0,1,0,0,0,43,1.38,0.268,0.57,1.24,6.64,0.07,-1.45,0.0,-,-,7+
002191,72535,2018,06-23,L 8:18,0,1.1,1,0,6,5,2,1,0,0,0,0,0,1,13,1.38,0.276,0.4,1.0,6.23,0.23,0.13,-0.006,-,-,6
002192,72535,2018,06-27,W 9:8,0,0.0,1,1,1,1,1,0,0,0,0,0,0,0,7,1.43,0.284,1.0,2.0,6.65,2.32,-0.4,-0.082,-,-,4
002193,72535,2018,06-29,L 2:5,1,3.2,1,0,16,15,3,0,0,0,1,0,0,2,63,1.38,0.272,0.25,0.45,5.68,1.17,0.97,0.056,54,-,2
002194,72535,2018,07-05,L 2:9,0,1.1,2,2,6,6,3,0,0,1,0,0,0,1,21,1.43,0.284,0.5,1.5,6.08,0.02,-1.1,-0.001,-,-,6
002195,72535,2018,07-07,L 1:9,0,4.0,1,1,15,15,4,0,0,0,0,0,0,3,57,1.37,0.282,0.27,0.53,5.58,0.06,2.24,0.008,-,-,2
002196,72535,2018,07-11,L 2:4,0,0.1,1,1,3,3,2,0,0,0,0,0,0,0,10,1.42,0.291,0.67,1.33,5.81,0.77,-0.69,-0.058,-,-,4
002197,72535,2018,07-12,L 4:8,0,0.2,0,0,2,2,0,0,0,0,0,0,0,0,6,1.39,0.287,0.0,0.0,5.68,0.15,1.65,0.008,-,-,1
002198,72535,2018,07-17,W 12:6,0,1.0,0,0,4,4,1,0,0,0,0,0,0,0,12,1.38,0.286,0.25,0.5,5.51,0.27,0.56,0.014,-,-,5
002199,72535,2018,07-18,L 4:5,0,0.0,1,1,1,1,1,0,0,0,0,0,0,0,5,1.41,0.291,1.0,2.0,5.79,1.81,-0.4,-0.064,-,L,1
002200,72535,2018,07-19,L 1:7,0,0.1,2,2,3,2,2,0,0,0,0,0,0,0,7,1.45,0.301,0.67,1.67,6.27,0.29,-1.02,-0.033,-,-,1
002201,72535,2018,07-21,L 3:4,0,0.2,0,0,3,3,1,0,0,0,0,0,0,1,14,1.46,0.302,0.33,0.67,6.15,0.27,0.3,0.008,-,-,2
002202,72535,2018,07-24,L 2:3,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,5,1.49,0.302,1.0,0.0,6.15,3.5,-0.62,-0.128,-,-,3
002203,72535,2018,07-25,L 6:9,0,1.1,0,0,4,4,0,0,0,0,0,0,0,1,12,1.43,0.294,0.0,0.0,5.91,0.1,0.74,0.01,-,-,1
002204,72535,2018,07-27,W 9:2,0,0.2,0,0,3,3,1,1,0,0,0,0,0,0,7,1.43,0.295,0.33,1.0,5.8,0.14,0.08,0.005,-,-,2
002205,72535,2018,07-28,W 11:7,0,0.2,0,0,3,2,0,0,0,0,1,0,0,0,12,1.43,0.291,0.33,0.33,5.7,2.74,-0.02,0.036,HLD,-,1
002206,72535,2018,07-31,L 1:4,0,1.0,0,0,3,3,0,0,0,0,0,0,0,0,7,1.39,0.285,0.0,0.0,5.54,0.23,0.56,0.017,-,-,3
002207,72535,2018,08-09,W 11:4,0,1.0,0,0,3,3,1,0,0,0,0,0,0,1,11,1.38,0.286,0.33,0.67,5.4,0.09,0.56,0.004,-,-,7+
002208,72535,2018,08-11,L 2:5,0,1.0,0,0,3,3,1,0,0,0,0,0,0,1,10,1.37,0.287,0.33,0.67,5.26,0.11,0.56,0.006,-,-,2
002209,72535,2018,09-04,L 4:6,0,0.0,0,0,1,1,1,1,0,0,0,0,0,0,4,1.4,0.291,1.0,3.0,5.26,0.75,-0.63,-0.053,-,-,7+
002210,72535,2018,09-09,L 3:11,0,1.1,1,1,6,6,2,0,0,0,0,0,0,0,17,1.4,0.293,0.33,0.67,5.31,0.04,0.14,0.002,-,-,5
002211,72535,2018,09-11,L 4:17,0,1.0,2,2,6,6,3,0,0,0,0,0,0,3,28,1.44,0.3,0.5,1.0,5.62,0.11,-0.45,-0.008,-,-,2
002212,72535,2018,09-27,W 8:6,0,0.0,2,0,3,3,2,1,0,0,0,0,0,0,11,1.49,0.306,0.67,1.67,5.62,1.87,-2.86,-0.439,BLSV,-,7+
002213,72535,2018,10-02,W 8:6,0,0.1,0,0,2,2,1,0,0,0,0,0,0,0,7,1.5,0.309,0.5,1.0,5.57,0.63,0.24,-0.003,-,-,5
002214,72535,2018,10-03,L 6:7,0,0.2,0,0,4,4,2,1,0,0,0,0,0,1,15,1.52,0.313,0.5,1.25,5.48,0.82,0.02,-0.001,-,-,1
002215,72535,2018,10-04,W 7:2,0,1.0,0,0,4,4,1,0,0,0,0,0,0,1,19,1.51,0.311,0.25,0.5,5.36,0.14,0.56,0.008,-,-,1
002216,72535,2018,10-06,W 8:5,0,0.0,0,0,1,1,1,0,0,0,0,0,0,0,4,1.53,0.315,1.0,2.0,5.36,1.32,-1.62,-0.095,-,-,2
002217,72535,2018,10-09,W 11:10,0,0.0,0,0,1,1,1,0,0,0,0,0,0,0,2,1.56,0.319,1.0,2.0,5.36,0.62,-0.86,-0.043,-,-,3
002218,72535,2018,10-10,L 0:7,0,0.1,0,0,1,1,0,0,0,0,0,0,0,0,3,1.55,0.317,0.0,0.0,5.32,0.02,0.82,0.0,-,-,1
002219,63938,2018,07-03,L 3:9,1,4.1,7,7,22,17,7,2,0,2,3,0,0,3,82,2.31,0.412,0.48,1.36,14.54,1.12,-4.52,-0.48,21,L,7+
002220,63938,2018,07-08,L 1:2,1,5.0,0,0,21,17,4,1,0,0,2,0,1,4,93,1.71,0.324,0.35,0.64,6.75,1.32,2.78,0.285,61,-,5
