idx,code,year,date,result,startup,ip,run,er,bf,ab,hit,second,third,homerun,bb,ibb,hbp,k,pit,whip,avg,obp,ops,era,avli,re24,wpa,gsc,decision,itv
000035,68748,2018,08-01,W 4:3,1,6.0,2,2,24,19,3,2,0,0,4,0,0,10,117,1.29,0.224,0.29,0.56,4.15,1.13,1.33,0.11,64,W,6
000036,68748,2018,08-07,L 4:6,1,5.0,5,5,26,20,7,1,0,1,4,0,2,3,100,1.32,0.229,0.5,1.05,4.33,1.56,-2.23,-0.316,32,L,6
000037,68748,2018,08-12,W 5:4,1,6.0,2,2,23,22,4,0,0,1,1,0,0,11,98,1.3,0.227,0.22,0.54,4.27,0.84,1.33,0.157,66,-,5
000038,68748,2018,09-04,W 6:4,1,6.0,2,2,25,22,4,0,0,0,2,0,1,11,108,1.29,0.225,0.28,0.46,4.22,1.18,1.33,0.087,65,W,7+
000039,68748,2018,09-09,L 5:8,1,3.2,6,6,22,16,7,2,0,0,3,0,1,4,96,1.33,0.231,0.52,1.09,4.48,1.19,-4.25,-0.424,24,L,5
000040,68748,2018,09-26,W 8:4,1,3.2,2,2,18,14,4,0,1,0,4,0,0,2,87,1.35,0.232,0.44,0.87,4.49,1.15,0.75,0.05,43,-,7+
000041,68748,2018,10-03,W 7:6,1,5.0,5,5,23,20,5,1,0,0,3,0,0,5,92,1.35,0.233,0.35,0.65,4.63,1.44,-2.23,-0.363,39,-,7
000042,68748,2018,10-09,W 10:6,1,2.0,1,1,13,10,4,1,0,0,3,0,0,0,60,1.38,0.236,0.54,1.04,4.63,1.25,0.11,-0.001,41,-,6
000043,68748,2018,10-13,W 10:8,0,2.1,2,2,10,8,1,0,0,1,2,0,0,1,37,1.38,0.234,0.3,0.8,4.68,1.02,-1.08,-0.121,-,-,4
000044,68748,2018,10-20,L 5:7,1,4.1,4,3,22,18,4,1,0,1,4,0,0,7,96,1.85,0.222,0.36,0.81,6.23,1.06,-0.8,-0.168,44,-,7
000045,66643,2018,03-24,L 4:5,1,5.1,4,4,25,24,9,1,0,2,1,0,0,6,110,1.88,0.375,0.4,1.07,6.75,1.1,-1.64,-0.288,39,-,7+
000046,66643,2018,03-30,W 4:3,1,6.0,2,2,26,24,6,3,0,0,2,0,0,4,112,1.59,0.313,0.31,0.68,4.76,1.33,1.33,0.126,54,W,6
000047,66643,2018,04-06,W 11:5,1,7.0,3,3,30,30,10,1,0,0,0,0,0,9,103,1.53,0.321,0.33,0.7,4.42,1.13,0.89,-0.024,54,W,7
000048,66643,2018,04-12,L 4:15,1,2.0,7,7,14,13,7,3,0,1,1,0,0,2,58,1.77,0.352,0.57,1.57,7.08,0.81,-5.89,-0.416,15,L,6
000049,66643,2018,04-18,W 4:3,1,6.0,3,0,29,26,9,1,0,0,2,0,0,1,97,1.78,0.35,0.39,0.78,5.47,1.7,0.33,-0.013,47,-,6
000050,66643,2018,04-25,L 2:3,1,7.0,2,2,27,26,4,0,0,1,1,0,0,4,108,1.56,0.315,0.18,0.45,4.86,0.82,1.89,0.092,64,-,7
000051,66643,2018,05-01,L 0:4,1,6.0,2,2,27,25,9,3,0,0,1,0,0,4,92,1.58,0.321,0.38,0.86,4.58,1.24,1.33,0.041,49,L,6
000052,66643,2018,05-06,W 11:3,1,7.0,3,3,28,27,6,2,0,2,1,0,0,9,98,1.49,0.308,0.25,0.77,4.47,0.54,0.89,0.056,61,W,5
000053,66643,2018,05-13,W 8:7,1,3.0,7,6,21,18,9,2,0,0,1,0,1,2,87,1.6,0.324,0.52,1.14,5.29,1.06,-5.34,-0.571,16,-,7
000054,66643,2018,05-19,W 2:1,1,9.0,1,1,28,28,4,1,0,1,0,0,0,1,95,1.42,0.303,0.14,0.43,4.63,1.23,4.0,0.626,76,W CG,6
000055,66643,2018,05-25,W 14:2,1,6.2,2,2,28,27,10,0,0,1,0,0,0,7,114,1.43,0.31,0.36,0.84,4.43,0.52,1.63,0.121,53,W,6
000056,66643,2018,05-31,W 5:0,1,7.0,0,0,26,24,3,0,0,0,1,0,1,7,95,1.35,0.295,0.19,0.32,4.0,0.77,3.89,0.316,77,W,6
000057,66643,2018,06-06,W 5:2,1,8.0,2,2,28,24,6,0,0,2,4,0,0,4,99,1.34,0.291,0.36,0.86,3.83,1.18,2.44,0.173,62,W,6
000058,66643,2018,06-17,L 6:9,1,2.0,6,5,13,12,7,2,0,1,0,0,0,2,43,1.39,0.302,0.54,1.54,4.28,0.82,-4.89,-0.345,22,L,7+
